#    Temp  PTF_R_AB   u       g      r      i      z       U      B      V      R      I
   1000.0   -11.62  -28.81 -18.85 -12.84  -9.24  -6.56  -27.24 -19.74 -14.70 -10.16  -7.82
   1072.3   -10.38  -26.32 -17.10 -11.51  -8.18  -5.72  -24.81 -17.96 -13.28  -9.08  -6.84
   1149.8    -9.24  -24.01 -15.49 -10.29  -7.21  -4.95  -22.56 -16.32 -11.96  -8.08  -5.93
   1232.8    -8.20  -21.87 -14.00  -9.16  -6.32  -4.24  -20.47 -14.80 -10.73  -7.16  -5.11
   1321.9    -7.24  -19.89 -12.62  -8.13  -5.51  -3.61  -18.54 -13.39  -9.60  -6.32  -4.36
   1417.5    -6.37  -18.06 -11.35  -7.18  -4.77  -3.03  -16.74 -12.09  -8.56  -5.54  -3.67
   1519.9    -5.57  -16.37 -10.19  -6.31  -4.10  -2.51  -15.09 -10.89  -7.60  -4.83  -3.06
   1629.8    -4.84  -14.81  -9.11  -5.52  -3.49  -2.05  -13.56  -9.78  -6.72  -4.17  -2.50
   1747.5    -4.18  -13.36  -8.13  -4.81  -2.95  -1.63  -12.15  -8.76  -5.92  -3.58  -2.00
   1873.8    -3.58  -12.03  -7.22  -4.15  -2.46  -1.27  -10.85  -7.82  -5.18  -3.04  -1.56
   2009.2    -3.04  -10.81  -6.39  -3.56  -2.02  -0.94   -9.65  -6.96  -4.51  -2.55  -1.16
   2154.4    -2.56   -9.69  -5.64  -3.03  -1.63  -0.66   -8.55  -6.17  -3.90  -2.10  -0.81
   2310.1    -2.13   -8.66  -4.95  -2.56  -1.28  -0.42   -7.55  -5.45  -3.35  -1.71  -0.50
   2477.1    -1.74   -7.72  -4.33  -2.13  -0.98  -0.21   -6.62  -4.79  -2.86  -1.35  -0.23
   2656.1    -1.40   -6.85  -3.76  -1.75  -0.72  -0.03   -5.78  -4.20  -2.41  -1.04  -0.00
   2848.0    -1.10   -6.07  -3.25  -1.42  -0.49   0.11   -5.02  -3.66  -2.02  -0.77   0.19
   3053.9    -0.85   -5.35  -2.79  -1.13  -0.30   0.22   -4.32  -3.17  -1.66  -0.53   0.35
   3274.5    -0.63   -4.70  -2.38  -0.87  -0.15   0.31   -3.69  -2.73  -1.36  -0.32   0.48
   3511.2    -0.44   -4.12  -2.01  -0.66  -0.02   0.37   -3.12  -2.34  -1.09  -0.15   0.59
